Date,Umichigan_survey_change,ISM_Manufacturing_change,SPX_change,NASDAQ_change,Inflation_CPI_change,Inflation_PCE_change,10yr_bond_change,Fed_funds_rate_change,2yr_bond_change,Inflations_expectations_change,Inflation_surprises_change,Economic_surprises_change,Hourly_earnings_change,MS_Market_Sentiment_change,VIX_change,SOFR_change
2000-03-24,0.0,0.0,7.2020165646558e-05,0.004537901190338811,0.0,0.0,0.0011000000000000038,0.0,0.0011999999999999927,,0.0,0.0,,,0.010999263699514428,
2000-03-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,
2000-03-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,
2000-03-27,0.0,0.0,-0.0023568538619670454,-0.0009006594761666875,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.012473391698659297,
2000-03-28,0.0,0.0,-0.010584961873137844,-0.025142380045819812,0.0,0.0,-0.0003999999999999976,0.0,-0.00019999999999999185,,0.0,-0.0003999999999999993,,,0.0033203346111246868,
2000-03-29,0.0,0.0,0.0005239664926743881,-0.0391444571556242,0.0,0.0,0.0,0.0,-0.00010000000000000286,,0.0,0.0008999999999999998,,,-0.007680526147373301,
2000-03-30,0.0,0.0,-0.013655768567867765,-0.040213836505069156,0.0,0.0,-0.0009000000000000119,0.0,-0.0010999999999999899,,0.0,0.0,,,0.0137606068924786,
2000-03-31,-0.037735849056603765,-0.016129032258064502,0.0071643636754663564,0.02578349847124972,0.002,0.001,-0.0005999999999999964,0.0,0.0,,0.12619999999999998,0.00010000000000000026,,,-0.013658767350185008,
2000-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,
2000-04-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,
2000-04-03,0.0,0.0,0.004931334997130721,-0.07635315548577126,0.0,0.0,-0.00030000000000000165,0.0,-0.0006000000000000172,,0.0,-0.00020000000000000052,,,-0.000815308736590914,
2000-04-04,0.0,0.0,-0.00746362809352108,-0.01770730737177062,0.0,0.0,-0.0006999999999999923,0.0,-0.0011000000000000038,,0.0,-0.0004000000000000002,,,0.030564623500615673,
2000-04-05,0.0,0.0,-0.004923966201253793,0.0049001058114339635,0.0,0.0,-0.00030000000000000165,0.0,-9.999999999998899e-05,,0.0,0.0,,,0.012241656197795714,
2000-04-06,0.0,0.0,0.009392417488587324,0.023587145797055564,0.0,0.0,0.0005999999999999964,0.0,0.000899999999999998,,0.0,0.0,,,-0.011953700044936122,
2000-04-07,0.0,0.0,0.009997735356414905,0.041918567050023725,0.0,0.0,-0.0008000000000000021,0.0,-0.00019999999999999185,,0.0,-0.000599999999999999,,,-0.027194289809891192,
2000-04-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,
2000-04-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,
2000-04-10,0.0,0.0,-0.007841197612688311,-0.05808004138132672,0.0,0.0,-0.0008000000000000021,0.0,-0.0011000000000000038,,0.0,0.0,,,0.01594155486660548,
2000-04-11,0.0,0.0,-0.002572351541416884,-0.031588749343393285,0.0,0.0,0.0011000000000000038,0.0,0.0006999999999999923,,0.0,0.0,,,0.012211441584292215,
2000-04-12,0.0,0.0,-0.022271239978941537,-0.07058112872605338,0.0,0.0,0.0006000000000000033,0.0,0.0003000000000000086,,0.0,0.0,,,0.016315427902263258,
2000-04-13,0.0,0.0,-0.01817103675783993,-0.024631064587240625,0.0,0.0,-0.00030000000000000165,0.0,-0.00010000000000000286,,0.0,0.0,,,0.003886915121247503,
2000-04-14,0.0,0.0,-0.05827797099638321,-0.09668514297836694,0.0,0.0,-0.0006000000000000033,0.0,-0.0010999999999999968,,0.0,0.0,,,0.03648778338017322,
2000-04-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,
2000-04-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,
2000-04-17,0.0,0.0,0.03308368225511593,0.0655980055942118,0.0,0.0,0.0019000000000000059,0.0,0.0008000000000000021,,0.0,0.0,,,-0.040653409756627346,
2000-04-18,0.0,0.0,0.02866337481447645,0.07188428892731613,0.0,0.0,0.00019999999999999185,0.0,9.999999999998899e-05,,0.0,-0.0011000000000000003,,,-0.02697474852535864,
2000-04-19,0.0,0.0,-0.009808478021101297,-0.022975719441054254,0.0,0.0,-0.0006999999999999923,0.0,-9.999999999998899e-05,,0.0,0.0,,,0.008730363167455457,
2000-04-20,0.0,0.0,0.004952818623158439,-0.01687077252651481,0.0,0.0,0.0,0.0,0.0003999999999999976,,0.0,-0.0004000000000000002,,,-0.011378703979234572,
2000-04-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,
2000-04-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,
2000-04-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,
2000-04-24,0.0,0.0,-0.0032623698188967154,-0.04429344544825853,0.0,0.0,0.0002999999999999947,0.0,0.0002999999999999947,,0.0,0.0,,,0.014734501625686791,
2000-04-25,0.0,0.0,0.033275985061474556,0.0656859479451426,0.0,0.0,0.0011000000000000038,0.0,0.0009000000000000119,,0.0,0.00010000000000000026,,,-0.020769186897914405,
2000-04-26,0.0,0.0,-0.011134123889971925,-0.021863371442890855,0.0,0.0,0.0,0.0,0.00019999999999999185,,0.0,9.999999999999983e-05,,,0.01693221942073264,
2000-04-27,0.0,0.0,0.002689956810108196,0.039651909456790424,0.0,0.0,0.000899999999999998,0.0,0.0011000000000000038,,0.0,-0.0002000000000000001,,,-0.007564823626991957,
2000-04-28,0.0,0.0,-0.008526062856674788,0.02295424254709144,0.0,0.0,-9.999999999999593e-05,0.0,0.0006999999999999923,,0.0,-0.00019999999999999966,,,9.769240582957472e-05,
2000-04-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,
2000-04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,
2000-05-01,0.019607843137255054,-0.0036429872495445936,0.010892091185117359,0.02523402734247515,-0.007,-0.005,0.0007000000000000062,0.0,0.0003999999999999976,,0.1935,-0.00010000000000000026,,,-0.003135462003712952,
2000-05-02,0.0,0.0,-0.014956580963732313,-0.043614580806855874,0.0,0.0,0.00019999999999999185,0.0,-0.00010000000000000286,,0.0,0.0006000000000000003,,,0.02513001892248945,
2000-05-03,0.0,0.0,-0.021565522820457872,-0.020642195775931516,0.0,0.0,0.0010000000000000009,0.0,0.00040000000000001146,,0.0,9.999999999999983e-05,,,0.028551635023989053,
2000-05-04,0.0,0.0,-0.003907851035262477,0.00348770402259313,0.0,0.0,0.0002999999999999947,0.0,0.0,,0.0,-0.0002000000000000001,,,-0.007698417691208159,
2000-05-05,0.0,0.0,0.016359599026653626,0.025960690708126455,0.0,0.0,0.0007999999999999952,0.0,0.0006999999999999923,,0.0,0.0002999999999999995,,,-0.030016745040550297,
2000-05-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,
2000-05-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,
2000-05-08,0.0,0.0,-0.005905223260716297,-0.03862901577753208,0.0,0.0,0.0005000000000000004,0.0,0.0002999999999999947,,0.0,0.0,,,0.006346337000273983,
2000-05-09,0.0,0.0,-0.00844702528490282,-0.022992985190958715,0.0,0.0,-0.0002999999999999947,0.0,-9.999999999998899e-05,,0.0,-9.99999999999994e-05,,,0.006829432460337959,
2000-05-10,0.0,0.0,-0.02059994051581293,-0.055865952954106124,0.0,0.0,-0.0011000000000000038,0.0,-0.0005000000000000004,,0.0,0.0,,,0.008668382523180251,
